category,title,hj_as,hj_pfx,vt_as,vt_pfx,propagation,is_moas,moas_duration,is_submoas,submoas_duration,diff_cider,global_hege_freq_hijacked,global_hege_freq_normal,local_hege_hijacker,local_hege_freq_hijacked,local_hege_freq_normal,edit_distance,prepending,local_similarity,local_hege_freq,global_hege_freq,local_union,hege_score
forged_as_path,bitcanal_3.pickle,['197426'],115.116.96.0/24,4755,115.116.0.0/16,0.4312977099236641,0,,0,,,0.0,0,0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,"{'18254': {'web': {}, 'loc': {'6939': 0.13043478260869565, '197426': 1.0}}}"
typo,typo_asn_156532.pickle,['265781'],168.227.20.0/24,265791,168.227.20.0/24,0.9926470588235294,1,-3696.941520467836,0,,,0.0030097817908201654,0.0016835016835016834,0,0.14730878186968838,0.0,1,0.0,0.023122057750331826,0.07365439093484419,0.0023466417371609243,0.0,"{'265791': {'web': {'52468': 0.245614035087719, '5511': 0.245614035087719, '265790': 0.245614035087719, '265780': 0.245614035087719}, 'loc': {'2914': 0.049397903771169774, '701': 0.0022297507591625236, '3257': 0.007426509809314466, '52468': 1.0, '3356': 0.04751817895698688, '265790': 1.0, '265780': 1.0, '265781': 1.0, '5511': 1.0, '174': 0.13389273076906943, '1299': 0.11622096475097245}}, '265790': {'web': {'12956': 0.530868838763576, '11664': 0.396546922862712, '3257': 0.0421052631578947, '52468': 0.0465608465608466, '3356': 0.0957115009746589, '22927': 0.530868838763576, '265780': 0.0465608465608466, '5511': 0.0465608465608466, '19037': 0.396546922862712, '174': 0.0210526315789474, '1299': 0.216374269005848}, 'loc': {'1239': 0.14285714285714285, '20080': 0.07142857142857142, '52468': 4.428571428571429, '265780': 1.0, '265781': 1.0, '5511': 0.14285714285714285, '1916': 0.21428571428571427}}, '265781': {'web': {'20207': 1.0, '3356': 1.0, '3549': 1.0}, 'loc': {'2914': 0.0504697133642018, '701': 0.0028167147059832997, '3257': 0.0005921216654200947, '52468': 1.0, '6453': 0.0014469521248065681, '3356': 0.0694218680656337, '265780': 1.0, '5511': 1.0, '174': 0.14466709567284142, '1299': 0.1715034661408789}}}"
typo,typo_pfx_137152.pickle,['47285'],185.105.236.0/24,44685,185.105.236.0/24,1.0,1,25.057803468208093,0,,,0.0,0,1.0,4.005219262846382,0,1,0.0,0.97433504120279102,2.002609631423191,0.0,1.0,"{'47285': {'web': {'43754': 0.5, '42624': 0.125, '2914': 0.0158730158730159, '31549': 0.125, '59703': 0.25, '12880': 0.875, '1299': 0.851190476190476, '9002': 0.0992063492063492, '5511': 0.0238095238095238, '60976': 0.25, '3356': 0.0773809523809524, '16322': 0.25}, 'loc': {'43754': 1.0, '2914': 0.00967540574282147, '12880': 1.0, '1299': 1.0, '174': 0.0571693471396049, '3356': 0.08089843988720392}}, '44685': {'web': {'43754': 1.0, '3356': 0.0634920634920635, '1299': 1.0, '12880': 1.0, '47285': 1.0}, 'loc': {'43754': 1.0, '2914': 0.004218743424651769, '12880': 1.0, '47285': 1.0, '174': 0.014434648256161026, '1299': 1.0, '3356': 0.03226996309898854}}}"
origin_change,iran_3.pickle,['58224'],91.108.58.0/24,62014,91.108.56.0/22,0.9783783783783784,0,,0,,,0.003861003861003861,0,0,1.0581124938075612,0.0,3,0.0,0.8973633286153877,0.5290562469037806,0.0019305019305019305,0.5,"{'58224': {'web': {'31549': 0.0424397460499925, '20485': 0.00201020876369503, '6453': 0.206732490117738, '49666': 0.374865796260165, '48159': 0.434864602085684, '174': 0.0273606780307892, '15412': 0.00457964176615936, '2880': 0.00409159177342117, '205647': 0.0626138281322345, '6762': 0.180253996291915, '3257': 0.0611370991460881, '1299': 0.17492647761188, '34984': 0.0273818164736137, '286': 0.0253400546444588, '2914': 0.00996839892796817, '44400': 0.00409159177342117, '1273': 0.103123431279368, '12880': 0.429661323725382, '3356': 0.0779729454267359, '200612': 0.0269526382865214, '5511': 0.259261004512005, '6939': 0.00165607093504907, '43754': 0.0511448971677646, '12389': 0.000181118454402945, '29049': 0.0474710835241525, '198569': 0.00409159177342117, '41689': 0.0511448971677646}, 'loc': {'2914': 0.019526683881880082, '12880': 1.0, '3257': 0.018185743051730725, '6453': 1.0, '1299': 0.13820912754346773, '48159': 1.0, '174': 0.15000111941635266, '3356': 0.08268738706867904}}}"
forged_as_path,petersburg_2.pickle,['44050'],192.84.129.0/24,137,192.84.128.0/20,0.9701492537313433,0,,0,,,0.0,0,0,0.10919984333312825,0,5,0.0,0.072447439515173961,0.054599921666564126,0.0,0.0,"{'198596': {'web': {'131788': 0.0296296296296296, '39792': 0.0296296296296296, '2914': 0.147811447811448, '1273': 0.0115974560419005, '6762': 0.0333333333333333, '44050': 0.0296296296296296, '3356': 0.0611111111111111, '6910': 0.569341563786008, '34304': 0.338552188552189, '9050': 0.239711934156379, '1299': 0.0317994762439207}, 'loc': {'131788': 1.0, '39792': 0.8479969889235034, '2914': 0.01560549175133814, '174': 0.44227065710770264, '701': 0.006141540451885279, '20485': 0.0030875255013186045, '3257': 0.0010151281747442429, '31500': 0.00529034184206598, '44050': 1.005290341842066, '3356': 0.04077930403900887, '3549': 0.006150586323000117, '1299': 0.2276575502270091}}}"
origin_change,pakistan_1.pickle,['17557'],208.65.153.0/24,36561,208.65.152.0/22,0.9076923076923077,0,,0,,,0.0,0,0,0.353623962052771,0.0,3,0.0,0.85925583385043347,0.1768119810263855,0.0,0.2,"{'17557': {'web': {'701': 0.00604304165633933, '24493': 0.00102109556219714, '6762': 0.197010423370926, '5400': 0.188546853156322, '1239': 0.00854010051197541, '702': 0.117899003088381, '3491': 0.352606813424011, '6453': 2.3719727697526e-05, '1299': 0.00535387654289889, '3549': 0.00163590514598491, '7473': 0.00102109556219714, '3356': 0.000284954407294833}, 'loc': {'1299': 0.003436426116838488, '2914': 0.004639175257731959, '3549': 0.29679344642958955, '3491': 1.0}}}"
prepend,prepend_135565.pickle,['7'],155.133.112.0/21,197592,155.133.112.0/21,0.9226361031518625,1,-62.47826086956522,0,,,0,0.0,0,0,0,5,0.680130330398994,0.19752160732750657,0.0,0.0,0.5,"{'7': {'web': {'786': 0.996268656716418, '132602': 0.0027402052238806, '6762': 2.91511194029851e-05, '133957': 0.00373134328358209, '3257': 0.241283815298507, '9498': 0.000932835820895522, '3356': 0.00011660447761194, '58715': 0.00373134328358209, '2914': 0.000728777985074627, '174': 0.000816231343283582, '1299': 0.132316930970149}, 'loc': {'2914': 0.012225697240748413, '197592': 2.0, '3257': 1.0, '1299': 0.13818649502453317, '174': 0.0919006986113259, '3356': 0.03119463318138815}}}"
origin_change,sprint_1.pickle,['1239'],95.128.184.0/22,34547,95.128.184.0/22,0.7659574468085106,1,-19680.316666666666,0,,,0.0,0.0,0,0.017512719517394,0.0,4,0.0,0.7260170232217622,0.008756359758697,0.0,0.2,"{'34547': {'web': {'3356': 0.455729166666667, '2914': 0.322048611111111, '5603': 1.0}, 'loc': {'2914': 1.0, '1239': 1.0, '5603': 1.0}}, '1239': {'web': {'2914': 0.062767525924706, '3257': 0.0195704365020665, '6453': 3.42331397754738e-06, '3356': 0.0337753961896734, '174': 0.0191564268025865, '1299': 0.0556298687693314}, 'loc': {'6939': 0.015841584158415842, '1299': 0.12871287128712872, '3257': 0.09735973597359734}}}"
origin_change,windstream_1.pickle,['7029'],61.174.51.0/24,4134,61.174.51.0/24,0.9522058823529411,0,,0,,,0.0,0,0,0.2177233026395695,0.0,3,0.0,0.46285164573091853,0.10886165131978474,0.0,0.5,"{'7029': {'web': {'174': 0.0176148379859369, '2914': 0.00679951573374312, '30700': 6.60079077473481e-07, '3356': 0.269577006470311, '11537': 6.60079077473481e-07, '701': 3.03517370431074e-05, '3549': 0.000167537985895345, '6453': 0.0179698317527817, '1299': 0.165101734022186, '2828': 0.372376154353044, '11427': 3.2800879504259e-05, '40412': 3.2800879504259e-05, '3257': 0.0147391824308806, '7843': 3.2800879504259e-05}, 'loc': {'1299': 1.0, '2914': 0.006060606060606061, '3549': 0.017482517482517484, '3356': 0.09731934731934731, '3257': 0.01418026418026418}}}"
forged_as_path,torg_3.pickle,['60937'],186.96.128.0/18,11750,186.96.128.0/18,0.989247311827957,0,,0,,,0.4861111111111111,0,0,3.401325836809998e-06,0,5,0.0,2.2770195740817734e-05,1.700662918404999e-06,0.24305555555555555,0.0,"{'1273': {'web': {'5089': 8.67938705735657e-06, '2914': 0.00563049204795988, '6461': 3.40132583681119e-06, '3257': 8.95469262648526e-05, '3356': 0.0335585253419756, '174': 0.00170884577335117, '1299': 0.0664863664541425}, 'loc': {'60937': 1.0, '6461': 1.0, '6939': 0.14285714285714285, '12389': 1.0, '16509': 1.0}}}"
prepend,prepend_156321.pickle,['8'],194.247.164.0/24,50084,194.247.164.0/24,1.0,1,-25.733727810650887,0,,,0.0,0.0,0,0,0.24821026419857498,4,0.5943409168857894,0.24632427685679759,0.12410513209928749,0.0,0.2,"{'8': {'web': {'174': 0.0016054579768855, '2914': 0.148119904648701, '135185': 0.000227638058736118, '4637': 0.000160584527680758, '11164': 0.0430019592303639, '3257': 0.000459226114427926, '262589': 0.00391200313021002, '6762': 0.000162526835339728, '134884': 0.00317324320915043, '3491': 0.000901118482344635, '9498': 0.00307613329232897, '137961': 0.00307753619044678, '3356': 0.556192798514556, '18101': 0.00340098476055398, '14085': 0.0429216669665236, '58717': 0.00307753619044678, '4557': 0.181040352179903, '262369': 0.00107863754402175, '6939': 0.00180964756088597, '15412': 0.00340098476055398, '45117': 0.000227638058736118}, 'loc': {'1299': 0.22667160382033896, '50084': 1.0, '5588': 1.0, '3356': 0.265916191228596}}}"
